    categoryID,categoryName
    1,Action
    2,Adventure
    3,Animation
    4,Comedy
    5,Crime
    6,Documentary
    7,Drama
    8,Family
    9,Fantasy
    10,Horror
    11,Music
    12,Musical
    13,Mystery
    14,Romance
    15,Sci-Fi
    16,Sport
    17,Thriller
    18,War
    19,Western
