tagStatID,userID,tagID,totalWatchDuration,uniqueVideos
315,37,10,7071,1
316,37,22,7071,1
317,37,28,58773,1
318,38,2,2400,1
319,38,5,0,1
320,38,6,1200,1
321,38,8,0,1
322,38,9,9002,1
323,38,13,0,1
324,38,22,0,1
325,38,24,0,1
326,38,25,0,1
327,38,29,0,1
328,38,39,0,1
329,39,3,12369,2
330,39,6,264,1
331,39,8,41161,2
332,39,9,92399,1
333,39,12,264,1
334,39,20,85645,1
335,39,35,0,1
336,40,3,46,1
337,40,6,77940,2
338,40,8,92423,3
339,40,9,47727,1
340,40,22,4142,2
341,41,4,73111,1
342,41,5,6447,1
343,41,6,8,1
344,41,7,3158,1
345,41,9,3021,1
346,41,22,13245,3
347,41,31,2,1
348,41,35,3026,2
349,42,1,0,1
350,42,3,6600,1
351,42,6,0,1
352,42,9,5400,1
353,42,15,0,1
354,42,22,74240,2
355,42,24,6891,1
356,42,28,0,1
357,43,4,25,1
358,43,9,7958,2
359,43,11,7846,1
360,43,15,0,1
361,43,16,0,1
362,43,20,0,1
363,43,25,0,1
364,43,38,7846,1
365,43,39,0,1
366,44,5,173859,1
367,44,6,93794,1
368,44,7,69520,1
369,44,8,1028636,4
370,44,9,361042,2
371,44,13,83745,1
372,44,14,6116,1
373,44,18,6116,1
374,44,22,319405,2
375,44,23,165310,1
376,44,27,83745,1
377,44,30,85563,1
378,45,3,241,2
379,45,6,58,1
380,45,8,11155,1
381,45,9,9243,1
382,45,12,58,1
383,45,31,9243,1
384,46,5,6212859,2
385,46,9,765,2
386,46,11,0,1
387,46,12,8163,3
388,46,15,0,1
389,46,16,0,1
390,46,19,0,1
391,46,22,11545,2
392,46,35,8948,1
393,47,2,77090,3
394,47,3,0,1
395,47,6,5999,3
396,47,8,0,1
397,47,11,5746,2
398,47,13,337968,1
399,47,15,5746,1
400,47,23,0,1
401,47,30,5689,1
402,47,38,0,1
403,48,5,0,1
404,48,6,15125,1
405,48,12,0,1
406,48,16,0,1
407,48,19,0,1
408,48,22,3199,1
409,48,28,4800,1
410,48,34,0,2
411,48,35,58288,2
412,49,2,0,2
413,49,3,1800,1
414,49,5,0,1
415,49,7,4799,1
416,49,8,0,1
417,49,9,600,1
418,49,33,3000,1
419,49,34,15859,1
420,49,40,1199,1
421,50,4,4490,1
422,50,5,4215,2
423,50,6,81889,2
424,50,9,16337,1
425,50,12,13743,2
