user_id,watch_count
b15926c011,737
779343a3ea,484
89fbb087f3,278
7cdfd0e14a,207
e06f0be797,199
7c53ece165,187
322f2bd4d4,179
e259fd87b7,165
c314161c9b,156
fc565871cf,153
82af209598,151
c894db7220,147
cee47dfb69,144
e532ae5b97,144
9eaa2fc081,143
d36d70ea47,142
fcf33aed94,142
9d7039a080,139
609c532a3a,132
e0b30afa56,132
29c1164b3b,130
3195ebddb2,128
5068585c6c,125
42ac895c25,124
a03ad067cf,121
8776bd2af5,121
da01959c0b,120
b75bf86c4f,119
f67671c11b,119
f48e5f0146,118
0f8d8e905a,117
18609b13d0,116
097b9f44bc,115
6d4ef4e937,110
5630a4b13b,107
4569dcf8bf,107
1862bb7dc9,104
df4cccd444,104
d05cc79498,104
8be69a3a8b,102
9e52da4175,102
c799866859,101
51eb027d36,101
74dfbf5364,101
0d5ca81d0b,101
258853c3e2,100
1fca27ecdf,99
8daf6eca6b,99
28106e96d4,98
ed05704c26,97
16d994f6dd,96
def1cfe363,96
8d27a9b4ea,95
59416738c3,94
cec07504d1,94
74340c5cb3,93
70764611fb,93
171f216f35,92
4e9e38261c,91
89f462a772,90
86d6b221ba,90
3f5af8818d,89
4b88178641,88
e1193b7b21,88
ffc17ff6d7,88
dca97af50c,88
c24920c6dd,88
12b5e7bc10,87
8e3ee65d5f,87
25871bb308,87
bb532b24dd,86
09d693a78d,86
1ed4dd3b92,86
a8d4ca854a,86
92c1eef32e,85
8deaf1614c,85
bc91f43471,85
fdf0b6190b,83
54b81a7d06,83
512770c667,83
beb286bb4d,83
085bdc1fcf,82
d64055e54f,82
4b66564a48,82
2a68e2bb93,82
0685a8745f,82
34380f8993,82
9af0a10878,82
f17c516608,81
dc8615343f,81
ab94e21741,80
6d8f465731,80
7cb12b21bb,80
c4507aa9d3,80
8a52ea93b6,79
23c52f9b50,79
544a580088,79
a53005a0a0,78
2aae791056,78
eb28a917aa,78
8806b4579d,77
3fc348f261,77
b37c3282d6,77
4278261a6f,76
2b220b7b12,76
9dab64bad9,76
3ed2a97034,76
35cde33b04,76
b92394222c,76
e87f972a63,76
3250d08056,75
aa0e997bcf,75
8418c00a5d,75
e4b3bdc30d,74
0e2e80466d,74
06794754e8,74
bb66cb9971,74
426e6fdd35,74
1624ecd3d2,74
2bc70a9549,74
f2ed4d450d,73
eb2d36f9b9,73
80d91e56a5,73
4ec6a019b1,73
951bc27420,72
2f3e7bbd9f,72
50643db274,72
a021c1587c,72
cfe7c52a6a,72
3679d2c342,72
5e0974c53d,72
799409c83c,72
1a0b87131a,72
04ef5e7964,71
bb651a98fb,71
358d9d4914,71
8fcb19bee6,71
488cc329ea,71
a02042be63,71
6f4e3ab7b9,71
0c1ca5cd8e,70
9c03ea5176,70
4cf5995252,70
e084efa585,70
43ec678e27,70
0a9af5b846,70
9d2d3bd711,69
1c25b5cb5f,69
69df110487,69
c6083fd54d,69
4e9d49fb47,69
56b14cedf7,69
68ab6c840f,69
a36b4767d9,68
fa48fa50ae,68
1df8e21154,68
1c989c3c8e,68
f07a9bf4b5,68
74a3e60b61,68
ab49ee5230,67
ae2d63e302,67
eb74f8111c,66
93ebde24ee,66
d44d3ea0a7,66
49998f8ee1,66
f631ba1bfd,66
c8d54057d9,66
fa34d98390,66
3fc5190ce1,66
f76ecc2439,65
58bd85aa8b,65
872be68a3f,65
838bccaec6,65
337fc5e1ed,65
34cddcd769,65
95866eed32,65
569f2e525c,65
fd77794564,64
2cbdb803a6,64
a30b42c05a,64
537e00c542,64
faa9384608,64
8a47963abc,64
fb2419e4a8,64
0be37993fc,64
d3995120c4,63
5eb5be4077,63
54370d1df4,63
5e60ee87b3,63
ed9a3bf08f,62
087c910e64,62
c71cf2b17b,62
7b3a8515ac,62
b12826772c,62
6eb99caf86,62
9b02bf8f41,62
004e33f215,62
719087eb7b,62
25d178b702,62
122e0bc00d,61
3778f5acdb,61
66c3b8b30c,61
130bf37494,61
483c70e972,61
d83f427098,61
83ba454ded,61
1863e2e669,61
64e41536b3,61
8e63574acd,61
924f5efa2d,61
2e4f977756,61
c31e2309e0,60
807875deba,60
d169a6beb6,60
4944e80953,60
bee3c2d29a,60
e32e59be01,60
8e6f08499a,60
8833bcb32d,60
574d221302,60
e700207686,60
18c10ac8e5,60
695e7eb64f,60
14b3fb663b,60
666f340f6f,60
511f405eb6,60
0490d2cbc9,60
6d01c5754b,60
11c844cdaa,60
25d525ad00,59
529e6ef76d,59
58bb1011c5,59
43a28c5ae5,59
e28fe78bb7,59
0244e5d9eb,59
70e60c8040,59
e804e5429c,59
f1de753d58,58
3edc116123,58
beaf106d05,58
77daee4080,58
47f6da06c0,58
d5463d99ea,58
af7548676d,58
7016da098b,58
a8f8f977eb,58
a1b2f3b9be,58
20eb9be878,57
bc0ea7b235,57
2c8f6db020,57
c20f5d56cc,57
f2af3827fa,57
c680dd58c8,57
17e9dbab6e,57
f9d35c99db,57
5a18122d85,57
84a478dceb,57
182a9746fe,57
a44b6efb27,57
c23d515fb4,57
c26c91626f,57
49347a98ff,56
e229d80549,56
d68713704a,56
3f47e2550d,56
0e92bd9ea0,56
15d5da6dda,56
8c7355c8f8,56
d13f9c366f,56
2cb9384842,56
7ea94e8ce0,56
8e55f1f836,56
fbaefad481,56
0f7564324f,55
32bd337aa0,55
0f9eac7f32,55
d2b1437e54,55
e94f9ba44f,55
f785d44556,55
da5a7a6f53,55
